date,variable,value,threshold,status,rule_version,run_id,appended_at,abs_ret5,abs_ret20,abs_ret60
2026-09-09,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,34413390745,2026-09-14T01:29:13+00:00,,,
2026-09-13,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,34787099491,2026-09-14T01:29:13+00:00,,,
2026-09-15,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,35030173630,2026-09-15T22:41:38+00:00,,,
2026-09-16,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,35156515124,2026-09-16T22:52:41+00:00,,,
2026-09-17,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,35280915016,2026-09-17T22:43:50+00:00,,,
2026-09-20,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,35539215350,2026-09-20T22:06:52+00:00,,,
2026-09-21,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,35663544947,2026-09-21T23:15:39+00:00,,,
2026-09-22,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,35791242410,2026-09-22T22:41:39+00:00,,,
2026-09-23,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,35927776842,2026-09-23T22:52:07+00:00,,,
2026-09-24,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,36067546554,2026-09-24T22:55:10+00:00,,,
2026-09-25,ENSO_ONI,1.8,±0.5,🚨 임계초과,임계 규칙 v2026-08-25,36118221644,2026-09-25T09:54:28+00:00,,,
