file,path,summary,readable,pages,chars,signals,tone,bull,bear,entities
12년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/12년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/Summary/12년 10월_Market Monitor Issue.md,True,6,11957,기상이변|물류충격|압착|재고,하방 우세,3,12,Import Volume|Export Volume|Soybean|Baltic Dry Index|Source Document
12년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/12년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/Summary/12년 11월_Market Monitor Issue.md,True,7,12973,기상이변|물류충격|생산변동|압착|재고,중립/혼재,12,13,Export Volume|Production Volume|Stock-to-Use Ratio|Soybean|Baltic Dry Index|Source Document
12년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/12년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/Summary/12년 12월_Market Monitor Issue.md,True,8,15386,기상이변|물류충격|압착|재고,중립/혼재,16,14,Gross Domestic Product|Import Volume|Export Volume|Production Volume|Soybean|Baltic Dry Index|Agricultural Exemption|Source Document
12년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/12년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2012/Summary/12년 9월_Market Monitor Issue.md,True,5,4655,기상이변|물류충격,상방 우세,4,1,Heatwave|Soybean|Baltic Dry Index|Confidence Score
13년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 10월_Market Monitor Issue.md,True,11,23315,기상이변|물류충격|생산변동|압착|재고,중립/혼재,22,17,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Neutral Regime|Policy Pivot|Source Document|Confidence Score
13년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 11월_Market Monitor Issue.md,True,11,26255,물류충격|생산변동|압착|재고,상방 우세,28,21,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|World Agricultural Supply and Demand Estimates|Soybean|Neutral Regime|Source Document
13년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 12월_Market Monitor Issue.md,True,11,27170,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,상방 우세,36,25,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Neutral Regime|Source Document
13년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 2월_Market Monitor Issue.md,True,9,17857,기상이변|물류충격|압착|재고,중립/혼재,21,19,Import Volume|Export Volume|World Agricultural Supply and Demand Estimates|Soybean|Bull Regime|Bear Regime|Baltic Dry Index|Source Document
13년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 3월_Market Monitor Issue.md,True,9,18094,물류충격|바이오연료수요|수입관세|압착|재고,상방 우세,22,16,Import Volume|Export Volume|Soil Moisture Percentile|Soybean|Vegetable Oil|Baltic Dry Index|Import Tariff|Subsidy|Source Document
13년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 4월_Market Monitor Issue.md,True,9,16522,물류충격|압착|재고,중립/혼재,23,26,Import Volume|Export Volume|Soybean|Bull Regime|Neutral Regime|Baltic Dry Index|Source Document
13년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 5월_Market Monitor Issue.md,True,9,17126,기상이변|물류충격|생산변동|압착|재고,중립/혼재,20,24,Import Volume|Export Volume|Soybean|Neutral Regime|Baltic Dry Index|Source Document
13년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 6월_Market Monitor Issue.md,True,8,16097,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|재고,상방 우세,22,10,Import Volume|Export Volume|Production Volume|Soybean|Baltic Dry Index|Source Document
13년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/13년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2013/Summary/13년 9월_Market Monitor Issue.md,True,11,25661,물류충격|생산변동|수입관세|압착|재고,중립/혼재,24,19,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Import Tariff|Source Document
14년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 10월_Market Monitor Issue.md,True,13,38643,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,30,34,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Planted Area|Soybean|Neutral Regime|Import Tariff|Source Document
14년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 11월_Market Monitor Issue.md,True,13,34196,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,하방 우세,27,42,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Production Volume|Soybean|Neutral Regime|Subsidy|Source Document
