rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,price_date
35,1,74791,36.8,36.83,36.41,36.52,35897,ZL.c.0,2010-06-07
35,1,74791,36.53,36.92,36.47,36.55,34119,ZL.c.0,2010-06-08
35,1,74791,36.7,37.2,36.53,36.8,61212,ZL.c.0,2010-06-09
35,1,74791,36.78,37.12,36.63,36.79,38917,ZL.c.0,2010-06-10
35,1,74791,36.82,37.01,36.5,36.91,33117,ZL.c.0,2010-06-11
35,1,74791,37.07,38.34,37.02,37.07,697,ZL.c.0,2010-06-13
35,1,74791,37.08,37.59,37.07,37.32,38517,ZL.c.0,2010-06-14
35,1,74791,37.32,37.9,37.26,37.84,53921,ZL.c.0,2010-06-15
35,1,74791,37.81,38.22,37.78,38.11,30843,ZL.c.0,2010-06-16
35,1,74791,38.05,38.14,37.7,38.07,31617,ZL.c.0,2010-06-17
35,1,74791,38.04,38.3,37.86,37.95,34720,ZL.c.0,2010-06-18
35,1,74791,38.07,38.08,37.99,38.03,357,ZL.c.0,2010-06-20
35,1,74791,38.06,38.35,37.97,37.99,34441,ZL.c.0,2010-06-21
35,1,74791,37.99,38.15,37.78,37.94,25098,ZL.c.0,2010-06-22
35,1,74791,37.82,37.98,37.58,37.61,29975,ZL.c.0,2010-06-23
35,1,74791,37.69,37.77,37.07,37.26,28794,ZL.c.0,2010-06-24
35,1,74791,37.25,37.43,37.14,37.18,28362,ZL.c.0,2010-06-25
35,1,74791,37.2,37.2,37.08,37.15,175,ZL.c.0,2010-06-27
35,1,74791,37.18,37.43,36.79,36.88,25644,ZL.c.0,2010-06-28
35,1,74791,36.05,37.0,35.95,35.99,26162,ZL.c.0,2010-06-29
35,1,74791,36.08,36.64,35.86,36.02,12778,ZL.c.0,2010-06-30
35,1,74791,36.26,36.34,35.74,35.95,9019,ZL.c.0,2010-07-01
35,1,74791,35.96,36.32,35.83,35.92,4900,ZL.c.0,2010-07-02
35,1,74791,35.93,35.97,35.88,35.9,213,ZL.c.0,2010-07-05
35,1,74791,35.94,36.5,35.85,36.0,5696,ZL.c.0,2010-07-06
35,1,74791,36.02,36.9,35.97,36.86,3741,ZL.c.0,2010-07-07
35,1,74791,36.89,36.96,36.51,36.67,2896,ZL.c.0,2010-07-08
35,1,74791,36.91,37.46,36.77,37.34,1734,ZL.c.0,2010-07-09
35,1,74791,37.54,37.58,37.54,37.58,19,ZL.c.0,2010-07-11
35,1,74791,37.21,37.65,37.19,37.56,1564,ZL.c.0,2010-07-12
35,1,74791,37.94,38.11,37.31,37.89,378,ZL.c.0,2010-07-13
35,1,74791,37.86,38.15,37.74,38.07,141,ZL.c.0,2010-07-14
35,1,533689,38.01,38.62,37.9,38.51,18358,ZL.c.0,2010-07-15
35,1,533689,38.58,38.69,38.1,38.33,16122,ZL.c.0,2010-07-16
35,1,533689,38.06,38.28,38.01,38.06,187,ZL.c.0,2010-07-18
35,1,533689,38.29,38.35,37.82,37.88,14530,ZL.c.0,2010-07-19
35,1,533689,37.9,38.5,37.78,38.45,14147,ZL.c.0,2010-07-20
35,1,533689,38.44,38.57,38.2,38.33,11350,ZL.c.0,2010-07-21
35,1,533689,38.85,39.35,38.14,38.81,18127,ZL.c.0,2010-07-22
35,1,533689,38.85,39.16,38.72,39.14,14199,ZL.c.0,2010-07-23
35,1,533689,39.0,39.0,38.87,38.97,459,ZL.c.0,2010-07-25
35,1,533689,38.92,39.19,38.67,38.79,15165,ZL.c.0,2010-07-26
35,1,533689,38.8,38.92,38.5,38.53,17793,ZL.c.0,2010-07-27
35,1,533689,38.58,38.96,38.52,38.72,16697,ZL.c.0,2010-07-28
35,1,533689,38.82,39.33,38.75,39.22,16406,ZL.c.0,2010-07-29
35,1,533689,39.24,39.76,39.07,39.75,8836,ZL.c.0,2010-07-30
35,1,533689,39.82,39.96,39.73,39.96,1297,ZL.c.0,2010-08-01
35,1,533689,39.94,40.92,39.91,40.37,7628,ZL.c.0,2010-08-02
35,1,533689,40.84,41.05,40.11,40.98,4937,ZL.c.0,2010-08-03
35,1,533689,41.21,41.41,40.82,41.34,5789,ZL.c.0,2010-08-04
35,1,533689,41.38,41.97,40.89,41.12,3659,ZL.c.0,2010-08-05
35,1,533689,41.17,41.68,40.88,41.52,2431,ZL.c.0,2010-08-06
35,1,533689,41.45,41.53,41.38,41.48,1256,ZL.c.0,2010-08-08
35,1,533689,41.51,42.1,41.51,41.7,760,ZL.c.0,2010-08-09
35,1,533689,41.51,41.67,41.32,41.43,1866,ZL.c.0,2010-08-10
35,1,533689,41.47,41.76,41.18,41.54,976,ZL.c.0,2010-08-11
35,1,533689,41.42,41.67,41.06,41.28,1040,ZL.c.0,2010-08-12
35,1,533689,42.16,42.16,41.64,41.82,168,ZL.c.0,2010-08-13
35,1,543286,42.51,42.71,42.5,42.52,226,ZL.c.0,2010-08-15
35,1,543286,42.5,42.71,40.31,41.53,12304,ZL.c.0,2010-08-16
35,1,543286,41.52,41.87,41.48,41.71,12432,ZL.c.0,2010-08-17
35,1,543286,41.79,41.89,40.61,40.71,18536,ZL.c.0,2010-08-18
35,1,543286,40.85,41.04,39.74,39.87,16003,ZL.c.0,2010-08-19
35,1,543286,39.94,40.09,39.28,39.52,11648,ZL.c.0,2010-08-20
35,1,543286,39.53,39.69,39.53,39.66,31,ZL.c.0,2010-08-22
35,1,543286,39.68,39.87,39.22,39.32,6861,ZL.c.0,2010-08-23
35,1,543286,39.33,39.67,38.91,39.45,9337,ZL.c.0,2010-08-24
