file,path,summary,readable,pages,chars,signals,tone,bull,bear,entities
20.03_Portugal_Biofuels Policy and Market.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/03/20.03_Portugal_Biofuels Policy and Market.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/03/20.03_Portugal_Biofuels Policy and Market.md,True,25,43680,바이오연료수요|압착,중립/혼재,24,20,China|EU|Biodiesel Mandate|Palm Oil|Sunflower Oil|Rapeseed Oil
20.04_Austria_Agricultural Processor AGRANA Starts Disinfectants Production Based on Bioethanol.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/04/20.04_Austria_Agricultural Processor AGRANA Starts Disinfectants Production Based on Bioethanol.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/04/20.04_Austria_Agricultural Processor AGRANA Starts Disinfectants Production Based on Bioethanol.md,True,3,4759,바이오연료수요,중립/혼재,3,3,
20.04_Romania_Approves New Biofuels Blending Exemptions.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/04/20.04_Romania_Approves New Biofuels Blending Exemptions.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/04/20.04_Romania_Approves New Biofuels Blending Exemptions.md,True,2,3212,바이오연료수요,중립/혼재,0,0,Biodiesel Mandate
20.05_EU_Biofuel Mandates in the EU by Member State of 2020.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/05/20.05_EU_Biofuel Mandates in the EU by Member State of 2020.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/05/20.05_EU_Biofuel Mandates in the EU by Member State of 2020.md,True,23,34741,바이오연료수요,상방 우세,14,8,EU|Biodiesel Mandate|Palm Oil
20.05_Japan_Clarifying Japanese Imports of Palm Kernel Residues.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/05/20.05_Japan_Clarifying Japanese Imports of Palm Kernel Residues.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/05/20.05_Japan_Clarifying Japanese Imports of Palm Kernel Residues.md,True,5,8876,압착,상방 우세,4,0,Indonesia|Malaysia|Palm Oil
20.05_Netherlands_Wood Pellet Imports Surge to a New Record in 2019.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/05/20.05_Netherlands_Wood Pellet Imports Surge to a New Record in 2019.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/05/20.05_Netherlands_Wood Pellet Imports Surge to a New Record in 2019.md,True,5,11103,,상방 우세,8,3,Biodiesel Mandate
20.06_Canada_Clean Fuel Standard Delayed.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/06/20.06_Canada_Clean Fuel Standard Delayed.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/06/20.06_Canada_Clean Fuel Standard Delayed.md,True,2,1711,,하방 우세,0,2,
20.06_EU_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/06/20.06_EU_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/06/20.06_EU_Biofuels Annual.md,True,56,71167,바이오연료수요|수입관세|재고,하방 우세,38,78,Argentina|Brazil|Indonesia|EU|Ukraine|Import Duty|Biodiesel Mandate|WASDE Surprise|Palm Oil
20.06_Japan_Introduction of Mandatory Plastic Bag Fee Creates Opportunities for Bioplastic.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/06/20.06_Japan_Introduction of Mandatory Plastic Bag Fee Creates Opportunities for Bioplastic.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/06/20.06_Japan_Introduction of Mandatory Plastic Bag Fee Creates Opportunities for Bioplastic.md,True,3,3077,,상방 우세,1,0,
20.06_Japan_Invites Comments on Revised Carbon Intensity Value for Gasoline.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/06/20.06_Japan_Invites Comments on Revised Carbon Intensity Value for Gasoline.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/06/20.06_Japan_Invites Comments on Revised Carbon Intensity Value for Gasoline.md,True,3,5497,재고,상방 우세,7,1,EU
20.06_Poland_Wood Pellets Market Brief.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/06/20.06_Poland_Wood Pellets Market Brief.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/06/20.06_Poland_Wood Pellets Market Brief.md,True,6,8536,생산변동,하방 우세,3,4,Ukraine
20.06_Spain_Perfect Weather Secures a Record Winter Grains Crop.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/06/20.06_Spain_Perfect Weather Secures a Record Winter Grains Crop.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/06/20.06_Spain_Perfect Weather Secures a Record Winter Grains Crop.md,True,10,15211,물류충격|수입관세|재고,하방 우세,10,14,EU|Import Duty|WASDE Surprise
20.07_Australia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/07/20.07_Australia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/07/20.07_Australia_Biofuels Annual.md,True,21,54042,기상이변|물류충격|바이오연료수요|수입관세|재고,중립/혼재,35,42,Brazil|Malaysia|China|Import Duty|Biodiesel Mandate|WASDE Surprise|ENSO Phase|Rapeseed Oil
20.07_Canada_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/07/20.07_Canada_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/07/20.07_Canada_Biofuels Annual.md,True,23,53043,바이오연료수요|재고,하방 우세,26,35,Biodiesel Mandate
20.07_China_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/07/20.07_China_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/07/20.07_China_Biofuels Annual.md,True,21,57787,바이오연료수요|생산변동|수입관세|재고,하방 우세,17,49,Brazil|Indonesia|Malaysia|China|EU|Korea|Import Duty|Biodiesel Mandate|Tariff War|WASDE Surprise|Palm Oil
20.07_Colombia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/07/20.07_Colombia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/07/20.07_Colombia_Biofuels Annual.md,True,15,34454,물류충격|바이오연료수요|생산변동|수입관세|재고,하방 우세,16,44,EU|WASDE Surprise|Palm Oil
20.07_Colombia_Imposes 2 Year Duty on US Ethanol After CVD Investigation.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/07/20.07_Colombia_Imposes 2 Year Duty on US Ethanol After CVD Investigation.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/07/20.07_Colombia_Imposes 2 Year Duty on US Ethanol After CVD Investigation.md,True,4,4916,바이오연료수요,상방 우세,1,0,
20.07_Netherlands_Government Advised to Cascade Biomass.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/07/20.07_Netherlands_Government Advised to Cascade Biomass.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/07/20.07_Netherlands_Government Advised to Cascade Biomass.md,True,5,11792,,상방 우세,4,0,India
