"Data generated on Wednesday, August 5, 2026 at 10:30:23 PM EST"
Area/Partners of Destination,,,,,January 2015 - December 2015
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2015-2015","MT","96,173","116,439.0","81,406","100,037.7","83,418","105,881.5","48,189","57,026.6","28,967","32,900.0","58,796","71,376.6","26,223","29,303.5","67,893","70,146.6","40,001","46,264.6","67,790","81,480.0","88,089","105,689.0","122,078","145,487.6","809,023","962,032.7","39","38","US","R00","0226AT",
"1.1","Mexico","1","Soybean Oil","2015-2015","MT","19,041","22,230.2","18,753","22,400.8","16,603","20,535.6","21,748","25,622.7","21,561","25,516.4","19,912","23,175.0","11,923","13,410.5","13,343","15,135.9","13,069","13,525.2","15,499","15,430.8","16,718","14,975.7","22,658","19,906.4","210,828","231,865.4","36","33","US","MX","0226AT",
"1.2","Colombia","1","Soybean Oil","2015-2015","MT","52","25.8","6","3.0","3,297","4,583.6","3,672","5,321.4","48","21.8","0","0.0","141","64.6","0","0.0","0","0.0","0","0.0","3,288","4,247.9","14,150","18,200.1","24,653","32,468.2","330","328","US","CO","0226AT",
"1.3","China","1","Soybean Oil","2015-2015","MT","0","0.0","30","13.8","0","0.0","10","4.6","0","0.0","7","3.1","13","6.2","0","0.0","17","8.3","27","12.6","3","0.3","13,165","17,209.7","13,273","17,258.6","412,093","5,295,201","US","CH","0226AT",
"1.4","Morocco","1","Soybean Oil","2015-2015","MT","14,836","18,898.2","11,253","15,057.6","0","0.0","0","0.0","0","0.0","11,819","16,001.9","0","0.0","0","0.0","0","0.0","0","0.0","11,032","14,420.9","13,078","17,095.8","62,018","81,474.3","19","19","US","MO","0226AT",
"1.5","Korea, South","1","Soybean Oil","2015-2015","MT","115","70.7","8,254","10,735.0","7,719","10,521.1","125","77.4","16","10.8","29","16.3","28","19.9","56","39.9","38","24.3","54","37.2","7,987","10,407.5","12,997","16,969.8","37,416","48,930.0","63","63","US","KS","0226AT",
"1.6","Tunisia","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9,096","11,890.4","8,849","11,566.9","17,945","23,457.3","-3","-3","US","TS","0226AT",
"1.7","Peru","1","Soybean Oil","2015-2015","MT","26,346","32,024.2","15,496","18,699.7","18,978","25,525.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,358","5,696.7","0","0.0","17,562","22,953.0","8,617","11,153.6","91,357","116,052.8","-51","-51","US","PE","0226AT",
"1.8","Dominican Republic","1","Soybean Oil","2015-2015","MT","11,791","15,014.1","11,410","14,539.8","5,525","7,070.4","10,826","14,676.6","12","5.5","7,493","10,294.5","3,245","4,406.5","7,722","8,145.1","2,766","3,501.4","11,110","14,875.0","7,119","9,201.2","7,523","9,646.6","86,542","111,376.8","6","5","US","DR","0226AT",
"1.9","Algeria","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","0.9","0","0.0","0","0.0","0","0.0","3,715","4,855.6","4,247","5,552.2","7,965","10,408.7","14","14","US","AG","0226AT",
