"Data generated on Wednesday, August 5, 2026 at 10:32:44 PM EST"
Area/Partners of Destination,,,,,January 2015 - December 2015
And Commodities Re-Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2015-2015","MT","122","111.6","63","58.6","82","88.6","3","1.8","95","71.3","130","136.9","64","48.2","83","61.8","83","69.5","91","97.7","69","56.8","47","35.3","932","838.2","-31","-38","US","R00","0226AT",
"1.1","Canada","1","Soybean Oil","2015-2015","MT","40","19.7","42","41.3","77","84.9","0","0.0","49","43.1","75","84.7","28","20.7","35","28.1","48","40.9","74","84.1","0","0.0","22","20.6","490","468.1","","","US","CA","0226AT",
"1.2","Netherlands Antilles(*)","1","Soybean Oil","2015-2015","MT","3","1.8","0","0.0","0","0.0","0","0.0","28","14.5","12","10.0","0","0.0","28","21.0","4","3.6","13","10.0","14","10.0","17","13.7","118","84.8","21","36","US","NT","0226AT",
"1.3","Dominican Republic","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","1.0","8","1.0","","","US","DR","0226AT",
"1.4","El Salvador","1","Soybean Oil","2015-2015","MT","6","4.7","4","2.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","5.5","0","0.0","0","0.0","0","0.0","0","0.0","17","12.9","","","US","ES","0226AT",
"1.5","Guatemala","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","3","1.8","0","0.0","6","4.6","0","0.0","0","0.0","0","0.0","0","0.0","5","3.6","0","0.0","13","10.0","","","US","GT","0226AT",
"1.6","Japan","1","Soybean Oil","2015-2015","MT","0","0.0","18","14.6","0","0.0","0","0.0","18","13.7","38","37.6","32","25.0","0","0.0","30","25.0","0","0.0","46","37.6","0","0.0","181","153.5","","","US","JA","0226AT",
"1.7","Mexico","1","Soybean Oil","2015-2015","MT","74","85.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","10","4.5","0","0.0","0","0.0","4","5.5","0","0.0","87","95.4","","","US","MX","0226AT",
"1.8","Nicaragua","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","5","3.6","0","0.0","0","0.0","0","0.0","0","0.0","4","2.7","0","0.0","0","0.0","0","0.0","0","0.0","9","6.4","","","US","NU","0226AT",
"1.9","Panama","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","3.6","0","0.0","0","0.0","5","3.6","","","US","PM","0226AT",
"1.10","Trinidad and Tobago","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.5","","","US","TD","0226AT",
"","Grand Total","","","","MT","122","111.6","63","58.6","82","88.6","3","1.8","95","71.3","130","136.9","64","48.2","83","61.8","83","69.5","91","97.7","69","56.8","47","35.3","932","838.2","-61","-68",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : FAS &#40;Agricultural&#41;"
