"Data generated on Thursday, August 6, 2026 at 12:51:48 AM EST"
Area/Partners of Destination,,,,,January 2025 - December 2025
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","3,114","3,058.1","66","52.9","21","19.5","123","147.5","64","69.5","5,775","5,375.0","4,234","4,923.3","149","185.3","96","68.1","64","39.2","201","196.3","34","18.1","13,942","14,152.8","US","R00","1507904020",
"1.1","Guatemala","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","4","1.9","8","3.8","6","2.9","40","56.4","0","0.0","89","123.3","19","8.6","21","29.1","12","4.8","19","7.6","28","11.4","12","4.8","257","254.5","US","GT","1507904020",
"1.2","Panama","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","11","4.8","12","5.7","4","1.9","17","7.6","37","47.5","0","0.0","6","2.9","57","78.7","65","53.8","0","0.0","75","79.4","9","3.8","293","286.1","US","PM","1507904020",
"1.3","Mexico","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","3,099","3,051.5","0","0.0","0","0.0","0","0.0","0","0.0","5,661","5,240.2","4,082","4,756.7","0","0.0","10","5.7","5","2.9","53","67.2","5","2.9","12,915","13,127.0","US","MX","1507904020",
"1.4","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","4","1.9","6","2.9","0","0.0","4","1.9","5","1.9","19","7.6","5","1.9","5","1.9","47","20.0","US","TD","1507904020",
"1.5","Bermuda","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","4.8","3","4.8","US","BD","1507904020",
"1.6","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","7","3.7","0","0.0","0","0.0","4","1.9","0","0.0","0","0.0","0","0.0","0","0.0","6","3.0","0","0.0","0","0.0","17","8.7","US","BF","1507904020",
"1.7","Belize","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","19","26.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9","2.9","0","0.0","28","29.9","US","BH","1507904020",
"1.8","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","4","1.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","1.9","5","1.9","0","0.0","0","0.0","13","5.7","US","DR","1507904020",
"1.9","El Salvador","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","12","16.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12","16.1","US","ES","1507904020",
"1.10","Guyana","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","23","32.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","23","32.0","US","GY","1507904020",
"1.11","Honduras","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","1.9","0","0.0","0","0.0","0","0.0","0","0.0","12","4.8","0","0.0","16","6.7","US","HO","1507904020",
"1.12","India","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","21","28.6","0","0.0","21","28.6","US","IN","1507904020",
"1.13","Kuwait","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","100","139.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","100","139.7","US","KU","1507904020",
"1.14","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","22","21.6","11","14.8","23","24.6","19","18.2","15","6.7","17","7.6","22","20.1","0","0.0","12","16.1","0","0.0","0","0.0","141","129.7","US","NT","1507904020",
"1.15","Nicaragua","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","34","47.4","0","0.0","0","0.0","0","0.0","0","0.0","34","47.4","US","NU","1507904020",
"1.16","Venezuela","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","4.2","0","0.0","0","0.0","0","0.0","0","0.0","3","4.2","US","VE","1507904020",
"1.17","Vietnam","1","1507904020","SOY OIL ONC-RFND","2025-2025","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","10","7.9","8","3.8","0","0.0","0","0.0","0","0.0","0","0.0","18","11.7","US","VM","1507904020",
"","Grand Total","","","","","MT","3,114","3,058.1","66","52.9","21","19.5","123","147.5","64","69.5","5,775","5,375.0","4,234","4,923.3","149","185.3","96","68.1","64","39.2","201","196.3","34","18.1","13,942","14,152.8",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : FAS"
