"Data generated on Thursday, August 6, 2026 at 12:44:06 AM EST"
Area/Partners of Destination,,,,,January 2026 - December 2026
And Commodities Exported,,,,,Cumulative To Date Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","124","103.3","163","184.5","187","240.1","440","591.7","121","164.2","315","423.8","","","","","","","","","","","","","1,349","1,707.4","US","R00","1507904020",
"1.1","Saudi Arabia","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","0","0.0","0","0.0","0","0.0","58","80.8","0","0.0","173","240.6","","","","","","","","","","","","","231","321.4","US","SA","1507904020",
"1.2","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","0","0.0","40","52.7","77","106.9","167","228.9","45","58.8","85","118.6","","","","","","","","","","","","","415","565.9","US","BF","1507904020",
"1.3","Nicaragua","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","0","0.0","0","0.0","0","0.0","74","102.7","38","53.1","42","58.0","","","","","","","","","","","","","153","213.7","US","NU","1507904020",
"1.4","Mexico","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","3","1.3","12","5.7","50","69.5","7","3.8","38","52.4","9","3.8","","","","","","","","","","","","","119","136.5","US","MX","1507904020",
"1.5","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","23","9.5","0","0.0","5","1.9","0","0.0","0","0.0","6","2.7","","","","","","","","","","","","","34","14.2","US","NT","1507904020",
"1.6","Colombia","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","0","0.0","41","56.5","0","0.0","0","0.0","0","0.0","0","0.0","","","","","","","","","","","","","41","56.5","US","CO","1507904020",
"1.7","El Salvador","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","4","0.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","","","","","","","","","","","","","4","0.8","US","ES","1507904020",
"1.8","Guatemala","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","9","3.8","21","24.2","0","0.0","0","0.0","0","0.0","0","0.0","","","","","","","","","","","","","30","28.0","US","GT","1507904020",
"1.9","Honduras","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","9","3.8","0","0.0","9","4.7","0","0.0","0","0.0","0","0.0","","","","","","","","","","","","","19","8.5","US","HO","1507904020",
"1.10","Japan","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","51","71.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","","","","","","","","","","","","","51","71.0","US","JA","1507904020",
"1.11","Panama","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","21","8.6","27","22.6","46","57.1","129","173.7","0","0.0","0","0.0","","","","","","","","","","","","","223","261.8","US","PM","1507904020",
"1.12","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","0","0.0","23","22.9","0","0.0","5","1.9","0","0.0","0","0.0","","","","","","","","","","","","","27","24.8","US","TD","1507904020",
"1.13","Turks and Caicos Islands","1","1507904020","SOY OIL ONC-RFND","2026-2026","MT","3","4.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","","","","","","","","","","","","","3","4.5","US","TK","1507904020",
"","Grand Total","","","","","MT","124","103.3","163","184.5","187","240.1","440","591.7","121","164.2","315","423.8","","","","","","","","","","","","","1,349","1,707.4",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : FAS"
