"Data generated on Wednesday, August 5, 2026 at 10:34:34 PM EST"
Area/Partners of Destination,,,,,January 2010 - December 2010
And Commodities Re-Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2010-2010","MT","7","5.3","0","0.0","85","84.9","9","6.2","12","9.2","0","0.0","0","0.0","4","2.5","37","30.7","25","21.7","110","100.0","29","18.9","319","279.5","-73","-81","US","R00","0226AT",
"1.1","Nicaragua","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12","7.6","12","7.6","","","US","NU","0226AT",
"1.2","Netherlands Antilles(*)","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","0","0.0","0","0.0","4","2.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.6","8","5.3","","","US","NT","0226AT",
"1.3","Dominican Republic","1","Soybean Oil","2010-2010","MT","4","2.7","0","0.0","0","0.0","5","3.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","4.9","4","2.6","20","13.6","-46","-47","US","DR","0226AT",
"1.4","Jamaica","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.5","4","2.5","","","US","JM","0226AT",
"1.5","Trinidad and Tobago","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","0","0.0","0","0.0","8","6.5","0","0.0","0","0.0","0","0.0","9","6.4","0","0.0","17","10.4","3","1.9","37","25.2","-84","-82","US","TD","0226AT",
"1.6","Panama","1","Soybean Oil","2010-2010","MT","4","2.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.5","0","0.0","0","0.0","3","1.8","3","1.8","13","8.8","-2","0","US","PM","0226AT",
"1.7","Canada","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","85","84.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","24","21.9","25","21.7","82","82.9","0","0.0","216","211.4","","","US","CA","0226AT",
"1.8","Mexico","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","0","0.0","4","2.8","0","0.0","0","0.0","0","0.0","0","0.0","5","2.4","0","0.0","0","0.0","0","0.0","9","5.2","","","US","MX","0226AT",
"","Grand Total","","","","MT","7","5.3","0","0.0","85","84.9","9","6.2","12","9.2","0","0.0","0","0.0","4","2.5","37","30.7","25","21.7","110","100.0","29","18.9","319","279.5","291","257",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : FAS &#40;Agricultural&#41;"
