"Data generated on Thursday, August 6, 2026 at 12:55:47 AM EST"
Area/Partners of Destination,,,,,January 2017 - December 2017
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","107","129.3","112","95.6","314","337.7","82","94.9","133","165.8","300","321.1","160","148.4","175","182.5","162","162.2","66","85.5","229","208.5","228","230.2","2,067","2,161.6","US","R00","1507904020",
"1.1","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","48","48.0","0","0.0","0","0.0","24","24.0","0","0.0","18","19.0","22","30.8","5","24.0","0","0.0","76","72.0","193","217.8","US","TD","1507904020",
"1.2","Guatemala","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","13","18.3","0","0.0","0","0.0","8","5.7","0","0.0","34","47.6","15","20.3","31","37.1","23","32.6","9","5.3","0","0.0","40","55.6","173","222.5","US","GT","1507904020",
"1.3","Lebanon","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","35","31.8","0","0.0","33","31.8","62","55.9","92","84.5","34","31.8","35","31.8","19","15.9","165","144.3","34","31.8","509","459.3","US","LE","1507904020",
"1.4","Mexico","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","8","7.6","41","36.5","80","68.9","11","9.2","0","0.0","56","47.3","34","26.6","46","52.7","48","40.6","11","8.9","64","64.2","22","20.0","421","382.6","US","MX","1507904020",
"1.5","Panama","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","22","23.6","0","0.0","0","0.0","27","24.5","0","0.0","0","0.0","21","19.3","69","67.4","US","PM","1507904020",
"1.6","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","27.4","20","27.4","US","BF","1507904020",
"1.7","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","8","6.4","25","20.0","8","6.7","13","10.5","10","9.9","7","5.7","0","0.0","7","5.7","0","0.0","0","0.0","0","0.0","9","2.2","86","67.0","US","NT","1507904020",
"1.8","Colombia","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","1.9","0","0.0","0","0.0","6","1.9","13","3.8","US","CO","1507904020",
"1.9","United Arab Emirates","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","19.4","0","0.0","0","0.0","0","0.0","0","0.0","20","19.4","US","AE","1507904020",
"1.10","Belize","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","11","15.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","11","15.1","US","BH","1507904020",
"1.11","China","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","69","96.2","0","0.0","46","64.1","46","64.1","0","0.0","0","0.0","0","0.0","23","31.4","0","0.0","0","0.0","184","255.9","US","CH","1507904020",
"1.12","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","16.8","0","0.0","0","0.0","0","0.0","0","0.0","20","16.8","US","DR","1507904020",
"1.13","Guyana","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","20","17.2","20","16.6","0","0.0","0","0.0","20","28.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","60","61.8","US","GY","1507904020",
"1.14","Hong Kong","1","1507904020","SOY OIL ONC-RFND","2017-2017","MT","46","64.1","0","0.0","23","32.1","0","0.0","23","32.1","23","32.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","115","160.3","US","HK","1507904020",
